Заголовок;Ключивые слова;Дата публикации;Ссылка
Вскрытие покажет: Решаем лёгкий crackme и пишем генератор ключа;Информационная безопасность;вчера в 16:04;https://habr.com/ru/post/526136/
Побег из песочницы с Python;Блог компании OTUS. Онлайн-образование;вчера в 15:54;https://habr.com/ru/company/otus/blog/526132/
Шаблонные функции в Python, которые могут выполнятся синхронно и асинхронно;Python;1 ноября 2020 в 22:33;https://habr.com/ru/post/525998/
Настройка синхронизации google calendar с web приложением;Python;29 октября 2020 в 18:26;https://habr.com/ru/post/525680/
Роль математики в машинном обучении;Блог компании OTUS. Онлайн-образование;29 октября 2020 в 16:23;https://habr.com/ru/company/otus/blog/525636/
Правда о регистре символов, которую должны знать программисты;Программирование;29 октября 2020 в 14:14;https://habr.com/ru/post/525608/
Пишем бот для пазл игры на Python;Python;28 октября 2020 в 11:29;https://habr.com/ru/post/525380/
Пять самых сложных языков программирования на свете;Блог компании Productivity Inside;28 октября 2020 в 11:15;https://habr.com/ru/company/productivity_inside/blog/525368/
Реализуем и сравниваем оптимизаторы моделей в глубоком обучении;Блог компании SkillFactory;27 октября 2020 в 18:48;https://habr.com/ru/company/skillfactory/blog/525214/
AutoVIML: Автоматизированное машинное обучение;Блог компании OTUS. Онлайн-образование;27 октября 2020 в 17:23;https://habr.com/ru/company/otus/blog/525292/
ZoomX. Меняем правила шаблонизации в MODX Revolution;MODX;26 октября 2020 в 20:29;https://habr.com/ru/post/525158/
Что происходит, когда вы выполняете manage.py test?;Блог компании OTUS. Онлайн-образование;25 октября 2020 в 19:31;https://habr.com/ru/company/otus/blog/524974/
Pylint: о попытке снизить потребление памяти;Блог компании RUVDS.com;25 октября 2020 в 16:12;https://habr.com/ru/company/ruvds/blog/524940/
Изучаем распространение радиосигналов в ионосфере с помощью SDR;Python;24 октября 2020 в 14:00;https://habr.com/ru/post/524764/
Почему без тимлида не обойтись: нюансы формирования комплексной команды разработчиков и работа на удаленке;Блог компании Mail.ru Group;23 октября 2020 в 15:28;https://habr.com/ru/company/mailru/blog/524752/
Автоматизация работы с проектом Python;Блог компании SkillFactory;22 октября 2020 в 15:23;https://habr.com/ru/company/skillfactory/blog/524576/
Fastcore — недооцененная, но полезная библиотека Python;Блог компании SkillFactory;21 октября 2020 в 15:13;https://habr.com/ru/company/skillfactory/blog/524334/
О полезности contextvars;Блог компании ДомКлик;20 октября 2020 в 11:00;https://habr.com/ru/company/domclick/blog/521702/
Визуализация использования GIL в CPython;Python;19 октября 2020 в 18:00;https://habr.com/ru/post/523944/
Spark schemaEvolution на практике;Блог компании Неофлекс;19 октября 2020 в 16:01;https://habr.com/ru/company/neoflex/blog/524080/
Поднимаем Django стек на MS Windows;PostgreSQL;17 октября 2020 в 05:46;https://habr.com/ru/post/523842/
Как построить диаграмму на Python;Блог компании SkillFactory;16 октября 2020 в 15:10;https://habr.com/ru/company/skillfactory/blog/523140/
4 главных вещи, которые я не знал перед выходом на стажировку в разработку;Блог компании Admitad;16 октября 2020 в 12:47;https://habr.com/ru/company/admitad_gmbh/blog/523730/
Разработка онлайн-сервиса для инвесторов на pythonanywhere.com с использованием данных Yahoo Finance;Разработка веб-сайтов;15 октября 2020 в 15:25;https://habr.com/ru/post/523612/
Встречаем новое поколение одноплатника micro:bit от BBC;Блог компании Selectel;15 октября 2020 в 12:14;https://habr.com/ru/company/selectel/blog/523574/
